"TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper"
"781E4B78 2022-01-19 17:54:00","781E4B78","2022-01-19","17:54:00",4,410741.692736786,4261683.01372618,410396.578424047,411086.807049525,4261263.29586431,4262102.73158805
"781E4B78 2022-01-19 17:57:00","781E4B78","2022-01-19","17:57:00",3,410811.145827196,4261673.77667213,410435.254606735,411187.037047657,4261350.56927796,4261996.9840663
"781E4B78 2022-01-19 18:00:00","781E4B78","2022-01-19","18:00:00",4,410721.884699318,4261700.56157412,410208.493052008,411235.276346628,4261094.02498827,4262307.09815997
"781E4B78 2022-01-19 18:03:00","781E4B78","2022-01-19","18:03:00",5,410851.721626306,4261704.52870618,410784.744152307,410918.699100304,4261646.38255576,4261762.67485661
"781E4B78 2022-01-19 18:06:00","781E4B78","2022-01-19","18:06:00",6,410882.693591845,4261791.7515913,410780.225961919,410985.161221772,4261674.22292851,4261909.2802541
"781E4B78 2022-01-19 18:09:00","781E4B78","2022-01-19","18:09:00",5,410851.701775645,4261784.89519136,410806.567701485,410896.835849804,4261742.78402376,4261827.00635896
"781E4B78 2022-01-19 18:12:00","781E4B78","2022-01-19","18:12:00",6,410788.409160756,4261681.12226024,410576.646050116,411000.172271395,4261488.44246611,4261873.80205438
"781E4B78 2022-01-19 18:15:00","781E4B78","2022-01-19","18:15:00",6,410790.223719584,4261737.14365987,410752.018068657,410828.429370511,4261691.24670498,4261783.04061477
"781E4B78 2022-01-19 18:18:00","781E4B78","2022-01-19","18:18:00",7,410808.98390276,4261701.55764971,410704.935467056,410913.032338465,4261616.69198883,4261786.42331059
"781E4B78 2022-01-19 18:21:00","781E4B78","2022-01-19","18:21:00",4,410953.070969473,4261740.58094264,410661.526847907,411244.61509104,4261501.38461197,4261979.77727332
"781E4B78 2022-01-19 18:24:00","781E4B78","2022-01-19","18:24:00",6,410841.69245049,4261794.14374189,410779.673315638,410903.711585343,4261724.37662849,4261863.9108553
"781E4B78 2022-01-19 18:27:00","781E4B78","2022-01-19","18:27:00",6,410864.024959208,4261806.36800844,410799.318650642,410928.731267774,4261728.94861196,4261883.78740492
"781E4B78 2022-01-19 18:30:00","781E4B78","2022-01-19","18:30:00",5,410847.698294201,4261774.20494722,410759.724918883,410935.671669518,4261657.73353504,4261890.67635939
"781E4B78 2022-01-19 18:33:00","781E4B78","2022-01-19","18:33:00",7,410897.670289914,4261782.38685837,410778.976451258,411016.36412857,4261669.83465709,4261894.93905965
"781E4B78 2022-01-19 18:36:00","781E4B78","2022-01-19","18:36:00",7,410932.7760733,4261761.58336418,410790.053482485,411075.498664116,4261611.08221068,4261912.08451768
"781E4B78 2022-01-19 18:39:00","781E4B78","2022-01-19","18:39:00",7,410922.20204728,4261730.51100439,410819.156375206,411025.247719355,4261623.33326831,4261837.68874046
"781E4B78 2022-01-19 18:42:00","781E4B78","2022-01-19","18:42:00",6,410835.844081974,4261752.09480189,410725.932085626,410945.756078323,4261616.65952857,4261887.53007522
"781E4B78 2022-01-19 18:45:00","781E4B78","2022-01-19","18:45:00",6,410805.840733334,4261745.70902689,410616.14878419,410995.532682477,4261501.9721972,4261989.44585657
"781E4B78 2022-01-19 18:48:00","781E4B78","2022-01-19","18:48:00",6,410847.544145556,4261629.24674879,410611.914111566,411083.174179546,4261443.59986549,4261814.89363209
"781E4B78 2022-01-19 18:51:00","781E4B78","2022-01-19","18:51:00",6,410900.351071257,4261602.49584478,410568.235097811,411232.467044704,4261338.48182761,4261866.50986194
"781E4B78 2022-01-19 18:54:00","781E4B78","2022-01-19","18:54:00",6,410851.682408198,4261772.20440091,410778.226924431,410925.137891966,4261708.17447511,4261836.23432671
"781E4B78 2022-01-19 18:57:00","781E4B78","2022-01-19","18:57:00",7,410878.416595313,4261827.92760318,410817.411613952,410939.421576673,4261758.42737484,4261897.42783152
"781E4B78 2022-01-19 19:00:00","781E4B78","2022-01-19","19:00:00",7,410867.006901918,4261847.62391662,410811.650413178,410922.363390658,4261781.6121389,4261913.63569434
"781E4B78 2022-01-19 19:03:00","781E4B78","2022-01-19","19:03:00",7,410795.067905498,4261788.76905452,410702.602272034,410887.533538963,4261666.77759398,4261910.76051507
"781E4B78 2022-01-19 19:06:00","781E4B78","2022-01-19","19:06:00",7,410875.004279159,4261813.65049859,410805.546517984,410944.462040334,4261739.72302691,4261887.57797028
"781E4B78 2022-01-19 19:09:00","781E4B78","2022-01-19","19:09:00",7,410913.252201186,4261842.16084952,410842.817889849,410983.686512524,4261751.08554164,4261933.2361574
"781E4B78 2022-01-19 19:12:00","781E4B78","2022-01-19","19:12:00",7,410880.299108124,4261931.32534617,410831.886957202,410928.711259046,4261887.36313454,4261975.2875578
"781E4B78 2022-01-19 19:15:00","781E4B78","2022-01-19","19:15:00",6,410925.899769482,4261936.62076003,410846.639923914,411005.159615049,4261873.8263676,4261999.41515245
"781E4B78 2022-01-19 19:18:00","781E4B78","2022-01-19","19:18:00",6,410862.063717799,4261969.28115273,410699.165238838,411024.962196761,4261829.00816567,4262109.55413978
"781E4B78 2022-01-19 19:21:00","781E4B78","2022-01-19","19:21:00",6,410881.760174406,4261940.84691725,410788.466961855,410975.053386957,4261873.88437985,4262007.80945465
"781E4B78 2022-01-19 19:24:00","781E4B78","2022-01-19","19:24:00",6,410855.377263222,4261958.11497471,410781.731178286,410929.023348158,4261897.12933796,4262019.10061145
"781E4B78 2022-01-19 19:27:00","781E4B78","2022-01-19","19:27:00",7,410887.719954355,4261880.99302172,410741.668000808,411033.771907901,4261714.17092141,4262047.81512203
"781E4B78 2022-01-19 19:30:00","781E4B78","2022-01-19","19:30:00",6,410947.558198123,4261979.82802996,410811.866976396,411083.24941985,4261823.98384337,4262135.67221656
"781E4B78 2022-01-19 19:33:00","781E4B78","2022-01-19","19:33:00",6,410709.075955078,4261877.35531391,410645.685198352,410772.466711804,4261824.18913921,4261930.52148861
"781E4B78 2022-01-19 19:36:00","781E4B78","2022-01-19","19:36:00",6,410697.529238418,4261935.98758564,410608.137301366,410786.92117547,4261832.87778318,4262039.0973881
